authors,year,title,doi,pedro_score,manuscript_language,study_country,continent,subregion,economy,english_offical_lang,nonofficiallang_excluded,eng_study,samplesize_report,samplesize_total,sex_report,gender_report,g_gendersex_report,sexgender_femalewoman,sexgender_maleman,age_report_plus,age_mean,height_report,height_mean,weight_report,weight_mean,bmi_report,bmi_mean,comorbidities_report,comorbidities_howmany,comorbidities_mean,p_geog_report,p_geog_categories,p_geog_desc,p_geog_prop,r_ethnicityrace_report,r_ethnicityrace_lumped,r_ethnicityrace_class,r_ethnicityrace_categories,r_ethnicityrace_desc,r_ethnicityrace_prop,r_prilangspoken_report,r_cob_report,r_cob_categories,r_cob_desc,r_cob_prop,o_employment_report,o_employment_categories,o_employment_desc,o_employment_prop,r_religion_report,e_edu_report,e_edu_categories,e_edu_desc,e_edu_prop,e_edu_mean,se_income_report,se_income_categories,se_income_desc,se_income_prop,sc_report,sc_marital_categories,sc_marital_desc,sc_marital_prop,sc_livingarrangement_categories,sc_livingarrangement_desc,sc_livingarrangement_prop,plus_characteristics,plus_which,painvas_report,painvas100_mean,womac_report,womac_painmean,womac_stiffmean,womac_funcmean,womac_totalonly,koos_report,koos_painmean,koos_sympmean,koos_adlmean,koos_sportmean,koos_qolmean,sexgender_report
P. Y. Chen; C. Y. Song; H. Y. Yen; P. C. Lin; S. R. Chen; L. H. Lu; C. L. Tien; X. M. Wang; C. H. Lin,2021,Impacts of tai chi exercise on functional fitness in community-dwelling older adults with mild degenerative knee osteoarthritis: a randomized controlled clinical trial,10.1186/s12877-021-02390-9,6,english,taiwan,asia,east asia,high income,no,unknown,unknown,yes,68,yes,no,yes,62,6,yes,76.45,no,NA,no,NA,yes,24.37,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
C. Cheung; J. F. Wyman; U. Bronas; T. McCarthy; K. Rudser; M. A. Mathiason,2017,Managing knee osteoarthritis with yoga or aerobic/strengthening exercise programs in older adults: a pilot randomized controlled trial,10.1007/s00296-016-3620-2,7,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,83,no,no,unknown,NA,NA,yes,71.55,no,NA,no,NA,yes,29.04,yes,NA,1.45,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,yes,years,,,15.819,no,,,,no,NA,,,NA,,,no,,yes,54.28,yes,7.389,4.184,27.268,38.84216867,no,NA,,,NA,NA,no
C. Cheung; J. F. Wyman; B. Resnick; K. Savik,2014,Yoga for managing knee osteoarthritis in older women: a pilot randomized controlled trial,10.1186/1472-6882-14-160,8,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,36,no,no,unknown,36,0,yes,71.9,no,NA,no,NA,yes,28.95,yes,NA,2.1,no,NA,,,yes,yes,both,2,white or nonwhite,86v14,no,no,NA,,,no,NA,,,no,yes,years,,,16.35,no,,,,no,NA,,,NA,,,no,,no,NA,yes,8.5,4.75,31.05,44.35,no,NA,,,NA,NA,yes
D. S. T. Cheung; W. F. Yeung; L. K. P. Suen; T. C. Chong; Y. S. Ho; B. Y. M. Yu; L. Y. T. Chan; H. Y. Chen; L. X. Lao,2020,Self-administered acupressure for knee osteoarthritis in middle-aged and older adults: a pilot randomized controlled trial,10.1177/0964528419883269,8,english,"hong kong, sar",asia,east asia,high income,yes,unknown,unknown,yes,35,no,yes,no,27,8,yes,62.14,no,NA,no,NA,yes,22.35,no,NA,NA,no,NA,,,yes,no,ethnicity,1,chinese,100,no,no,NA,,,yes,2,employed or unemployed/retired/housewife,37v63,no,yes,2,secondarybelow or abovesecondary,57v43,NA,yes,2,below25000hkd or 25000hkdabove,69v31,yes,3,married or single or divorcedwidowed,80v14v6,NA,,,no,,yes,46.84,yes,9.03,2.97,27.97,,no,NA,,,NA,NA,yes
J. H. Choi,2018,Effect of taping on a home program of hip abductor exercise on pain and quadriceps muscle strength in elderly women with knee osteoarthritis,,4,non-english,korea,asia,east asia,high income,no,unknown,unknown,yes,24,no,no,unknown,24,0,yes,67.725,yes,147.93,yes,54.195,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,47.5,no,,,,,no,NA,,,NA,NA,yes
R. Christensen; A. Astrup; H. Bliddal,2005,Weight loss: the treatment of choice for knee osteoarthritis? A randomized trial,10.1016/j.joca.2004.10.008,5,english,denmark,europe ,north europe,high income,no,unknown,unknown,yes,80,no,yes,yes,71,9,yes,62.6,no,NA,yes,96.8,yes,35.9,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,7.348,2.992,25.42,,no,NA,,,NA,NA,yes
R. Christensen; M. Henriksen; A. R. Leeds; H. Gudbergsen; P. Christensen; T. J. Sørensen; E. M. Bartels; B. F. Riecke; J. Aaboe; R. Frederiksen; M. Boesen; L. S. Lohmander; A. Astrup; H. Bliddal,2015,Effect of weight maintenance on symptoms of knee osteoarthritis in obese patients: A twelve-month randomized controlled trial,10.1002/acr.22504,6,english,denmark,europe ,north europe,high income,no,yes,unknown,yes,192,yes,no,yes,155,37,yes,62.53,yes,166,yes,103.2,yes,37.333,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,43.266,no,,,,,yes,57.3,60.7,59.9,22.633,38.166,yes
S. Coleman; N. K. Briffa; G. Carroll; C. Inderjeeth; N. Cook; J. McQuade,2012,A randomised controlled trial of a self-management education program for osteoarthritis of the knee delivered by health care professionals,10.1186/ar3703,8,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,146,no,yes,no,109,37,yes,65,no,NA,no,NA,no,NA,yes,NA,2.409,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,yes,socioeconomicindexbypostcode5,top25 or 50to75 or 25to50 or 10to25 or bottom10,61v13v10v11v5,no,NA,,,NA,,,no,,yes,52.408,yes,7.1,3.6,24.1,,no,NA,,,NA,NA,yes
V. Cortés Godoy; T. Gallego Izquierdo; I. Lázaro Navas; D. Pecos Martín,2014,Effectiveness of massage therapy as co-adjuvant treatment to exercise in osteoarthritis of the knee: A randomized control trial,10.3233/BMR-140476,8,english,spain,europe ,south europe,high income,no,unknown,unknown,yes,18,no,no,unknown,18,0,yes,84.5,no,NA,no,NA,yes,25.65,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,35,yes,nr,nr,nr,36.06,no,NA,,,NA,NA,yes
F. S. da Silva; F. E. S. de Melo; M. M. G. do Amaral; V. V. A. Caldas; Í. L. D. Pinheiro; B. J. Abreu; W. H. Brito Vieira,2015,Efficacy of simple integrated group rehabilitation program for patients with knee osteoarthritis: Single-blind randomized controlled trial,10.1682/JRRD.2014.08.0199,6,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,30,yes,no,yes,26,4,yes,58.5,yes,155.5,yes,70.825,yes,29.33,yes,3,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,yes,4,illiteracy or elementarysch or highsch or college,7v40v47v7,NA,no,,,,no,NA,,,NA,,,personal characteristics,smokingdrinking,no,NA,no,,,,,no,NA,,,NA,NA,yes
M. S. Danazumi; S. U. Ibrahim; A. M. Yakasai; G. Dermody; B. Bello; B. Kaka,2021,A Comparison between the Effect of Combined Chain Exercises Plus Kinesio Taping with Combined Chain Exercises Alone in Knee Osteoarthritis: A Randomized Clinical Trial,10.1097/PHM.0000000000001705,7,english,nigeria,africa,west africa,lower-middle income,yes,unknown,unknown,yes,60,no,no,unknown,33,27,yes,52.15,yes,160,yes,67,yes,24,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,63,no,,,,,no,NA,,,NA,NA,yes
A. M. I. de Oliveira; M. S. Peccin; K. N. G. da Silva; L. E. P. de Paiva Teixeira; V. F. M. Trevisani,2012,Impact of exercise on the functional capacity and pain of patients with knee osteoarthritis: A randomized clinical trial,10.1590/S0482-50042012000600006,6,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,98,no,yes,no,92,6,yes,60.11,no,NA,no,NA,yes,29.86,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,9.61,3.65,34.275,,no,NA,,,NA,NA,yes
C. A. F. de Paula Gomes; F. Politti; C. de Souza Bacelar Pereira; A. C. B. da Silva; A. V. Dibai-Filho; A. R. de Oliveira; D. A. Biasotto-Gonzalez,2020,"Exercise program combined with electrophysical modalities in subjects with knee osteoarthritis: a randomised, placebo-controlled clinical trial",10.1186/s12891-020-03293-3,9,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,100,yes,no,yes,92,8,yes,68.66,yes,166.8,yes,70.34,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,65.6,yes,14.83,6.02,49.46,,no,NA,,,NA,NA,yes
M. U. de Rezende; F. E. S. de Farias; C. A. C. da Silva; C. H. A. Cernigoy; O. P. de Camargo,2016,Objective functional results in patients with knee osteoarthritis submitted to a 2-day educational programme: a prospective randomised clinical trial,10.1136/bmjsem-2016-000200,3,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,198,no,no,unknown,149,49,yes,65,yes,161,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
M. de Rooij; M. van der Leeden; J. Cheung; M. van der Esch; A. Häkkinen; D. Haverkamp; L. D. Roorda; J. Twisk; J. Vollebregt; W. F. Lems; J. Dekker,2017,Efficacy of Tailored Exercise Therapy on Physical Functioning in Patients With Knee Osteoarthritis and Comorbidity: A Randomized Controlled Trial,10.1002/acr.23013,8,english,netherlands,europe ,west europe,high income,no,yes,unknown,yes,126,yes,no,yes,95,31,yes,63.55,no,NA,no,NA,yes,35.5,yes,4,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,yes,3,prisch or secsch or collegeuni,19v48v32,NA,no,,,,no,NA,,,NA,,,no,,yes,61.5,yes,9.75,nr,33.05,,no,NA,,,NA,NA,yes
S. Deepeshwar; M. Tanwar; V. Kavuri; R. B. Budhi,2018,Effect of Yoga Based Lifestyle Intervention on Patients With Knee Osteoarthritis: A Randomized Controlled Trial,10.3389/fpsyt.2018.00180,5,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,66,no,yes,no,50,16,yes,60.2,no,NA,no,NA,yes,29.14,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,4,housewife or govtemployee or privateemployee or retired,64v4v22v11,no,yes,3,lessthan6years or 6to12years or more12years,63v28v9,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
G. D. Deyle; N. E. Henderson; R. L. Matekel; M. G. Ryder; M. B. Garber; S. C. Allison,2000,"Effectiveness of manual physical therapy and exercise in osteoarthritis of the knee: A randomized, controlled trial",10.7326/0003-4819-132-3-200002010-00002,7,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,83,yes,no,no,49,34,yes,61.03,no,NA,no,NA,yes,30.5,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,nr,nr,nr,42.845,no,NA,,,NA,NA,yes
S. Dhanakotti; R. K. Samuel; M. Thakar; S. Doshi; K. Vadsola,2016,"Effects of additional kinesiotaping over the conventional physiotherapy exercise on pain, quadriceps strength and knee functional disability in knee osteoarthritis participants- A randomized controlled study",,6,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,30,no,yes,no,23,7,yes,51.495,yes,158.2,yes,64.93,yes,25.35,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,64,yes,nr,nr,nr,34.765,no,NA,,,NA,NA,yes
J. M. Dias; L. Cisneros; R. Dias; C. Fritsch; W. Gomes; L. Pereira; M. L. Santos; P. H. Ferreira,2017,Hydrotherapy improves pain and function in older women with knee osteoarthritis: a randomized controlled trial,10.1016/j.bjpt.2017.06.012,7,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,65,no,no,unknown,65,0,yes,70.8,yes,154,yes,71.7,yes,30.3,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,51,yes,10.2,3.291,36.706,,no,NA,,,NA,NA,yes
R. C. Dias; J. M. Dias; L. R. Ramos,2003,Impact of an exercise and walking protocol on quality of life for elderly people with OA of the knee,10.1002/pri.280,5,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,50,no,yes,no,44,6,yes,75,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,yes,2,lessthanequal8years or morethan8,92v8,NA,no,,,,yes,4,married or single or widowed or divorced,28v8v62v2,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
D. Diracoglu; R. Aydin; A. Baskent; A. Celik,2005,Effects of kinesthesia and balance exercises in knee osteoarthritis,10.1097/01.rhu.0000191213.37853.3d,4,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,60,no,no,unknown,60,0,no,NA,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,2,housewife or working,70v30,no,yes,3,prischandsecsch or highschgrad or unigrad,59v18v18,NA,no,,,,no,NA,,,NA,,,no,,no,NA,unclear,,,,,no,NA,,,NA,NA,yes
J. Ebnezar; R. Nagarathna; Y. Bali; H. R. Nagendra,2011,Effect of an integrated approach of yoga therapy on quality of life in osteoarthritis of the knee joint: A randomized control study,,7,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,250,yes,no,yes,174,76,yes,59.49,no,NA,no,NA,no,NA,yes,5,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,4,skilledworker or semiskilledworker or unskilledworker or others,24v26v3v47,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
M. A. Elbadawy,2017,Effectiveness of Periosteal Stimulation Therapy and Home Exercise Program in the Rehabilitation of Patients with Advanced Knee Osteoarthritis,10.1097/AJP.0000000000000404,7,english,egypt,africa,north africa,lower-middle income,no,unknown,unknown,yes,60,yes,no,yes,40,20,yes,59.68,no,NA,no,NA,yes,39.62,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,76,no,,,,,yes,19.815,15.705,27.06,8.335,14.165,yes
M. Elboim-Gabyzon; N. Rozen; Y. Laufer,2013,Does neuromuscular electrical stimulation enhance the effectiveness of an exercise programme in subjects with knee osteoarthritis? A randomized controlled trial,10.1177/0269215512456388,5,english,israel,asia,west asia,high income,no,unknown,unknown,yes,50,no,yes,no,42,8,yes,68.9,yes,160.9,yes,79.55,yes,30.95,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,74.5,unclear,,,,,no,NA,,,NA,NA,yes
M. Elgendy; F. Amin; H. Baraka; O. Khaled,2005,Influence of Proprioceptive Training on Knee Function in Patients with Knee Osteoarthritis,,4,english,egypt,africa,north africa,lower-middle income,no,unknown,unknown,yes,30,no,no,unknown,NA,NA,no,NA,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,no
"W. H. Ettinger, Jr.; R. Burns; S. P. Messier; W. Applegate; W. J. Rejeski; T. Morgan; S. Shumaker; M. J. Berry; M. O'Toole; J. Monu; T. Craven",1997,A randomized trial comparing aerobic exercise and resistance exercise with a health education program in older adults with knee osteoarthritis. The Fitness Arthritis and Seniors Trial (FAST),,6,english,united states of america,americas,north america,high income,yes,yes,unknown,yes,439,yes,no,yes,308,131,yes,68.66,no,NA,no,NA,no,NA,yes,5,NA,no,NA,,,yes,no,race,2,white or africanamerican,74v26,no,no,NA,,,no,NA,,,no,yes,3,lessthan12 or 12 or morethan12,21v23v56,NA,yes,4,lessthan10000 or 10000to19999 or 20000to34999 or morethan35000,21v28v25v25,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
J. N. Farr; S. B. Going; P. E. McKnight; S. Kasle; E. C. Cussler; M. Cornett,2010,Progressive resistance training improves overall physical activity levels in patients with early osteoarthritis of the knee: a randomized controlled trial,10.2522/ptj.20090041,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,171,yes,no,yes,128,43,yes,55.1,yes,168.69,yes,78.81,yes,27.6,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,3.309192982,,,,no,NA,,,NA,NA,yes
G. K. Fitzgerald; J. M. Fritz; J. D. Childs; G. P. Brennan; V. Talisa; A. B. Gil; B. D. Neilson; J. H. Abbott,2016,"Exercise, manual therapy, and use of booster sessions in physical therapy for knee osteoarthritis: a multi-center, factorial randomized clinical trial",10.1016/j.joca.2016.03.001,8,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,300,yes,no,yes,199,101,yes,58.29,no,NA,no,NA,yes,31.074,yes,4,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,18.077,nr,58.983,34.4544,no,NA,,,NA,NA,yes
B. C. Focht; M. J. Garver; S. T. Devor; J. Dials; A. R. Lucas; C. F. Emery; K. V. Hackshaw; W. J. Rejeski,2014,Group-mediated physical activity promotion and mobility in sedentary patients with knee osteoarthritis: results from the IMPACT-pilot trial,10.3899/jrheum.140054,6,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,80,yes,no,yes,67,13,yes,63.5,no,NA,no,NA,yes,32.7,no,NA,NA,no,NA,,,yes,no,ethnicity,4,white or africanamerican or asian or latino,69v25v2v4,no,no,NA,,,no,NA,,,no,yes,2,highschoolless or morethanhighschool,43v57,NA,yes,4,lessthan15000 or 15000to35000 or 35000to50000 or morethan50000,17v20v11v52,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
A. Foley; J. Halbert; T. Hewitt; M. Crotty,2003,Does hydrotherapy improve strength and physical function in patients with osteoarthritis - A randomised controlled trial comparing a gym based and a hydrotherapy based strengthening programme,10.1136/ard.2002.005272,8,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,105,yes,no,yes,52,53,yes,70.9,no,NA,no,NA,no,NA,yes,3,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,9,nr,nr,,no,NA,,,NA,NA,yes
N. Foroughi; R. M. Smith; A. K. Lange; M. A. F. Singh; B. Vanwanseele,2011,Progressive resistance training and dynamic alignment in osteoarthritis: A single-blind randomised controlled trial,10.1016/j.clinbiomech.2010.08.013,5,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,54,no,yes,yes,54,0,yes,64,yes,160,yes,84.3,yes,32.6,yes,NA,1.5,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,6,3.8,23.2,33,no,NA,,,NA,NA,yes
M. Fransen; J. Crosbie; J. Edmonds,2001,Physical therapy is effective for patients with osteoarthritis of the knee: a randomized controlled clinical trial,,7,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,126,yes,no,yes,92,34,yes,66.66,no,NA,no,NA,yes,29.38,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,7.5494,nr,26.879,,no,NA,,,NA,NA,yes
R. Ganji; A. Pakniat; M. R. Armat; M. Tabatabaeichehr; H. Mortazavi,2018,The Effect of Self-Management Educational Program on Pain Intensity in Elderly Patients with Knee Osteoarthritis: A Randomized Clinical Trial,10.3889/oamjms.2018.225,3,english,iran,asia,south asia,upper-middle income,no,unknown,unknown,yes,82,no,no,unknown,NA,NA,yes,64.96,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,48.05,no,,,,,no,NA,,,NA,NA,no
G. A. Ghasemi; A. Golkar; S. M. Marandi,2013,Effects of hata yoga on knee osteoarthritis,,3,english,iran,asia,south asia,upper-middle income,no,unknown,unknown,yes,30,no,no,unknown,30,0,yes,52.055,yes,160.58,yes,77.115,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,22.85,no,,,,,yes,NA,58.4,45.25,24.145,35.75,yes
M. Gohil; Y. Shukla,2020,"Effect of proprioceptive training using biofeedback (equiboard) on pain, function and proprioception in osteoarthritic knee-an interventional study",,4,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,22,no,no,unknown,NA,NA,no,NA,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,66.8,unclear,,,,,no,NA,,,NA,NA,no
A. B. Gomiero; A. Kayo; M. Abraão; M. S. Peccin; A. J. Grande; V. F. Trevisani,2018,Sensory-motor training versus resistance training among patients with knee osteoarthritis: Randomized single-blind controlled trial,10.1590/1516-3180.2017.0174100917,7,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,64,no,yes,no,61,3,yes,61.7,yes,158,yes,75.6,yes,23.85,yes,2,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,65,yes,,,,37.05,no,NA,,,NA,NA,yes
G. A. Gondhalekar; M. V. Deo,2013,Retrowalking as an adjunct to conventional treatment versus conventional treatment alone on pain and disability in patients with acute exacerbation of chronic knee osteoarthritis: a randomized clinical trial,10.4103/1947-2714.107527,6,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,30,no,no,unknown,15,15,yes,63.43,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,76.15,unclear,,,,,no,NA,,,NA,NA,yes
H. Gudbergsen; M. Boesen; R. Christensen; A. Astrup; H. Bliddal,2011,Radiographs and low field MRI (0.2T) as predictors of efficacy in a weight loss trial in obese women with knee osteoarthritis,10.1186/1471-2474-12-56,7,english,denmark,europe ,north europe,high income,no,unknown,unknown,yes,30,no,no,unknown,30,0,yes,62,yes,160,yes,99.4,yes,36.8,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,26.874,3.552,26.408,,no,NA,,,NA,NA,yes
Ö. E. Günaydin; V. Bayrakci Tunay,2020,Comparison of the added effects of kinesio taping and extracorporeal shockwave therapy to exercise alone in knee osteoarthritis,10.1080/09593985.2020.1780657,4,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,48,no,no,unknown,48,0,yes,58.8,yes,159,no,NA,yes,28.8,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,41.67,no,,,,,yes,NA,,,NA,NA,yes
D. H. Guo; S. Q. Ma; Y. C. Zhao; J. Dong; B. F. Guo; X. M. Li,2022,Self-administered acupressure and exercise for patients with osteoarthritis: A randomized controlled trial,"Artn 02692155211049155
10.1177/02692155211049155",5,english,china,asia,east asia,upper-middle income,no,unknown,unknown,yes,202,no,yes,no,105,97,yes,62.698,no,NA,yes,79.1,yes,27.874,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,2,currentlyemployed or unemployed,36v64,no,yes,2,highschoolless or morethanhighschool,61v39,NA,no,,,,yes,3,married or single or divorcedwidowed,75v8v17,NA,,,no,,yes,57.974,yes,8.823,3.15,31.517,,no,NA,,,NA,NA,yes
H. Gür; N. Cakin; B. Akova; E. Okay; S. Küçükoğlu,2002,Concentric versus combined concentric-eccentric isokinetic training: effects on functional capacity and symptoms in patients with osteoarthrosis of the knee,10.1053/apmr.2002.30620,5,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,23,no,no,unknown,NA,NA,yes,55.91,yes,157.3,yes,79.13,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,no
M. Henriksen; L. Klokker; T. Graven-Nielsen; C. Bartholdy; T. Schjødt Jørgensen; E. Bandak; B. Danneskiold-Samsøe; R. Christensen; H. Bliddal,2014,Association of exercise therapy and reduction of pain sensitivity in patients with knee osteoarthritis: a randomized controlled trial,10.1002/acr.22375,6,english,denmark,europe ,north europe,high income,no,unknown,unknown,yes,60,yes,no,yes,48,12,yes,63.67,yes,170.45,yes,82.57,yes,28.41,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,yes,59.7866,61.78,69.446,31.031,40.531,yes
D. Hernandez; M. Dimaro; E. Navarro; J. Dorado; M. Accoce; S. Salzberg; P. O. Policastro,2019,Efficacy of core exercises in patients with osteoarthritis of the knee: A randomized controlled clinical trial,10.1016/j.jbmt.2019.06.002,6,english,argentina,americas,south america,upper-middle income,no,unknown,unknown,yes,47,no,no,unknown,33,14,yes,62.27,no,NA,no,NA,yes,28.15,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,65.4,unclear,,,,,no,NA,,,NA,NA,yes
R. S. Hinman; P. K. Campbell; B. J. Lawford; A. M. Briggs; J. Gale; C. Bills; J. Kasza; A. Harris; S. D. French; S. J. Bunker; A. Forbes; K. L. Bennell,2020,Does telephone-delivered exercise advice and support by physiotherapists improve pain and/or function in people with knee osteoarthritis? Telecare randomised controlled trial,10.1136/bjsports-2019-101183,8,english,australia,oceania,australia and new zealand,high income,yes,yes,unknown,yes,175,no,yes,no,110,65,yes,62.45,yes,169.5,yes,89.25,yes,31.1,no,NA,NA,yes,5,majorcities or innerregional or outerregional or remote or veryremote ,57v25v13v5v0,no,,,,,,no,no,NA,,,yes,2,currentlyemployed or notcurrentlyemployed,49v51,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,60,yes,8.34,,28.5,,no,NA,,,NA,NA,yes
